company_id,company_name,cluster,sector,archetype,archetype_description,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,cfo_pat_ratio,fcf_conversion_pct,capex_intensity_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct
ADANIGREEN,Adani Green Energy Ltd,0,Energy,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",13.665943600867678,79.3709327548807,12.812690665039659,9.797568682054303,6.595281675818589,1.713943268078306,6.121428571428571,-182.3858977862804,228.4164859002169,45.26,6.24,21.78,0.89
AXISBANK,Axis Bank Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",22.73130411725443,34.69264599658038,15.832712405189048,2.612569500628303,8.249122739980766,1.691203992514036,-0.2234423394071035,-38.36280736894816,8.229937185125584,38.14,4.66,16.87,2.32
BANKBARODA,Bank of Baroda,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",15.93948250956673,37.4889127294537,15.761863790899902,2.8204469854601983,12.143718727289434,1.8967477242617206,-0.3325030473263024,-17.03283084341693,1.0854965830088108,16.89,4.15,24.7,2.62
CANBK,Canara Bank,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",13.935160470145405,41.753906568101414,16.716051794688113,3.15654898752525,14.867419925542423,1.6106611743349857,0.9769495487306019,28.81289819269276,1.583438141857961,36.74,12.61,25.23,3.81
HDFCBANK,HDFC Bank Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",23.07288232992184,61.41252040373843,14.33974005030719,4.887792835880029,6.808786667718385,1.4007688224792112,0.2913699844146319,20.47635996234127,5.852303374945795,49.42,4.4,22.54,4.33
ICICIBANK,ICICI Bank Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",28.888011233982798,62.41380175029464,17.99027109750765,5.2203495054405735,6.445624336310825,1.3009461331381824,3.4132071786636575,12.602450783447166,90.7350986734873,25.76,6.2,38.28,3.43
IRFC,Indian Railway Finance Corporation Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",24.064552448864703,99.50459748545694,13.038085361638096,5.7484746909270665,8.378352548852153,1.3194865927068304,1.2342482844666252,29.819333911665975,0.030024394820791892,9.81,3.91,16.66,2.82
INDUSINDBK,IndusInd Bank Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",19.56369677362945,38.55469091544986,14.252273197764223,3.5617860222414732,6.885742949503957,1.8795270558159352,-1.8818994413407821,-99.03617190157614,1.3661799422925593,8.99,3.7,28.79,1.42
KOTAKBANK,"Kotak Mahindra Bank Ltd
",0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",32.386151466116615,83.66733645109092,14.013018188532914,7.234918028249577,4.003739266919029,1.2363751084470385,0.8611980453522209,14.379835076086033,15.859665344879707,32.9,1.15,15.52,1.51
PFC,Power Finance Corporation Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",28.916597455960137,36.68859553263103,26.1609340860332,3.4859018926226346,8.521864217426122,0.5804147544943239,-3.6967612713049394,-301.5190778303994,3.7253573458058313,35.6,6.59,15.67,0.42
RECLTD,REC Ltd,0,Financials,High-Leverage / Cash-Flow Stressed,"higher leverage, weaker cash conversion, capex-light profile based on cluster medians.",29.7682934528695,100.7702506471368,20.39653929343908,9.29915054435852,6.4249170872386445,1.6004741552023507,-4.0808059384941675,-124.37399494601425,3.8533577456489256,31.49,4.59,23.95,2.18
ABB,Abbott India Ltd,1,Industrials,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,0.022438496891051634,141.75,1.009991673605329,54.852030282174816,7.112326893486067,75.58,4.48,12.63,0.96
ADANIPOWER,Adani Power Ltd,1,Energy,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",41.36759945184802,36.20186292228556,48.27674122146251,23.441056570774553,0.8023177656738903,8.297225501770956,0.6803015027125642,96.83454026771999,6.9134674584417395,44.57,9.91,24.76,1.65
ATGL,Adani Total Gas Ltd,1,Energy,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",14.927374301675977,24.670391061452516,18.65921787709497,21.491142690286157,0.43491620111731844,10.504504504504505,1.4296407185628743,18.387681159420293,16.804469273743017,56.96,5.76,28.93,0.51
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",1,Healthcare,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",4.905818773282963,12.56099480560365,13.480392156862745,19.51259271334257,0.7688869665513264,5.565701559020044,2.053475935828877,15.998329156223893,8.064431502177449,47.72,7.68,16.74,3.22
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",1,Materials,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",15.658543456824905,21.3692069305536,29.677488252883382,35.774926893689276,0.1321016659547202,41.00487804878049,1.0982367758186398,46.88200395517469,7.17847584166784,73.37,3.9,23.94,2.42
DMART,Avenue Supermarts Ltd,1,Consumer Discretionary,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",4.993207190533383,8.084427730414067,13.56294790886726,21.28564022809746,0.031661140228901485,73.29310344827586,1.082807570977918,6.770579639551875,4.8593199314812265,72.53,11.71,36.84,1.94
BAJAJ-AUTO,Bajaj Auto Ltd,1,Consumer Discretionary,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",17.178515712057056,19.534209939826162,26.61418410330778,28.389583468290468,0.06601754022512257,174.41666666666666,0.8508043591074209,73.99885909868796,0.16046356139959886,29.91,9.83,20.14,3.59
BEL,Bharat Electronics Ltd,1,Industrials,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",19.661535425300965,24.921057825143084,4744.047619047619,3977.165354330709,0.5119047619047619,476.75,1.1691342534504392,-25.044545634527815,29.228340240773633,17.89,9.22,23.14,0.76
BPCL,Bharat Petroleum Corporation Ltd,1,Energy,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",5.994201967046283,9.837909494446341,35.511337343822305,33.84830382235054,0.7218747934157467,11.355507351168956,1.3379500353698945,57.65391769883399,2.3480024906099985,68.15,0.72,26.59,1.15
BOSCHLTD,Bosch Ltd,1,Consumer Discretionary,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",14.886112273569676,12.524660728164047,20.639920424403183,17.30975791126167,0.003232758620689655,71.7843137254902,0.5032128514056224,73.31742243436754,1.6918754110121361,58.43,6.47,16.07,4.23
BRITANNIA,Britannia Industries Ltd,1,Consumer Staples,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",12.725863199952292,18.886039716142882,54.14869322506978,52.730602730602726,0.5239786856127886,20.597560975609756,1.2057169634489222,96.30565203662772,2.844534557815016,63.91,4.26,33.95,1.88
DABUR,Dabur India Ltd,1,Consumer Staples,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",14.600128990648178,19.348597226701063,18.355969997972835,21.369423915946932,0.13835394283397526,23.241935483870968,1.1115405853119824,43.416666666666664,7.828119961302805,50.95,13.59,12.02,3.42
DIVISLAB,Divis Laboratories Ltd,1,Healthcare,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",20.395156150414277,28.170809432759718,11.78984599513669,16.281125681449833,0.0002210596124088129,636.25,0.788125,44.8868778280543,3.4289356277884,69.95,12.34,31.81,1.39
DRREDDY,Dr Reddys Laboratories Ltd,1,Healthcare,Low-Leverage / Cash-Generative Compounders,"lower leverage, healthier cash conversion, capex-light profile based on cluster medians.",19.913605369319196,28.321016743422227,19.74233736816026,26.219592808038072,0.07085722375592836,51.707602339181285,0.8144496235209753,6.416235976301525,14.401485130841454,11.73,10.19,14.56,0.09
